/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=1 updates=732
  upd   5/732  ep_ret~-454.56  pl +0.077  vl 7.746  ent 0.380
  upd  10/732  ep_ret~-341.77  pl -0.042  vl 22.994  ent 0.565
  upd  15/732  ep_ret~-465.74  pl +0.021  vl 4.861  ent 0.779
  upd  20/732  ep_ret~-373.14  pl -0.075  vl 2.023  ent 0.458
  upd  25/732  ep_ret~-203.10  pl +0.022  vl 11.602  ent 0.471
  upd  30/732  ep_ret~-118.28  pl -0.028  vl 50.804  ent 0.409
  upd  35/732  ep_ret~-291.33  pl -0.017  vl 2.056  ent 0.321
  upd  40/732  ep_ret~-376.08  pl -0.044  vl 8.442  ent 0.644
  upd  45/732  ep_ret~-193.40  pl -0.051  vl 1.585  ent 0.221
  upd  50/732  ep_ret~-389.70  pl -0.062  vl 1.243  ent 0.407
  upd  55/732  ep_ret~-149.40  pl -0.072  vl 32.854  ent 0.474
  upd  60/732  ep_ret~-376.51  pl -0.007  vl 1.245  ent 0.350
  upd  65/732  ep_ret~-406.62  pl +0.032  vl 4.863  ent 0.361
  upd  70/732  ep_ret~-305.29  pl +0.047  vl 6.953  ent 0.587
  upd  75/732  ep_ret~-371.07  pl +0.015  vl 9.115  ent 0.488
  upd  80/732  ep_ret~-119.96  pl +0.035  vl 85.104  ent 0.268
  upd  85/732  ep_ret~-177.88  pl +0.042  vl 10.335  ent 0.366
  upd  90/732  ep_ret~-428.47  pl +0.113  vl 8.458  ent 0.394
  upd  95/732  ep_ret~-283.90  pl -0.025  vl 10.488  ent 0.296
  upd 100/732  ep_ret~-233.77  pl -0.078  vl 7.465  ent 0.288
  upd 105/732  ep_ret~-426.87  pl -0.027  vl 1.323  ent 0.415
  upd 110/732  ep_ret~-189.89  pl +0.034  vl 1.753  ent 0.248
  upd 115/732  ep_ret~-233.90  pl -0.101  vl 2.876  ent 0.292
  upd 120/732  ep_ret~-153.61  pl -0.045  vl 19.748  ent 0.281
  upd 125/732  ep_ret~-229.44  pl +0.061  vl 13.934  ent 0.399
  upd 130/732  ep_ret~-284.54  pl +0.001  vl 7.196  ent 0.397
  upd 135/732  ep_ret~-271.48  pl -0.040  vl 7.083  ent 0.212
  upd 140/732  ep_ret~-382.37  pl +0.030  vl 5.545  ent 0.546
  upd 145/732  ep_ret~-408.49  pl -0.035  vl 1.219  ent 0.403
  upd 150/732  ep_ret~-279.31  pl -0.047  vl 20.095  ent 0.246
  upd 155/732  ep_ret~-393.65  pl -0.020  vl 2.254  ent 0.708
  upd 160/732  ep_ret~-168.54  pl +0.116  vl 27.069  ent 0.334
  upd 165/732  ep_ret~-235.82  pl +0.011  vl 5.202  ent 0.248
  upd 170/732  ep_ret~-413.19  pl +0.015  vl 11.786  ent 0.487
  upd 175/732  ep_ret~-420.23  pl +0.006  vl 11.225  ent 0.636
  upd 180/732  ep_ret~-257.44  pl -0.016  vl 13.139  ent 0.208
  upd 185/732  ep_ret~-379.32  pl +0.024  vl 9.586  ent 0.455
  upd 190/732  ep_ret~-295.47  pl +0.015  vl 3.517  ent 0.371
  upd 195/732  ep_ret~-182.79  pl -0.134  vl 13.479  ent 0.416
  upd 200/732  ep_ret~-198.65  pl -0.023  vl 18.410  ent 0.365
  upd 205/732  ep_ret~-169.65  pl +0.051  vl 21.586  ent 0.430
  upd 210/732  ep_ret~-123.86  pl -0.124  vl 38.562  ent 0.406
  upd 215/732  ep_ret~-364.97  pl +0.040  vl 1.929  ent 0.390
  upd 220/732  ep_ret~-167.91  pl -0.073  vl 6.622  ent 0.164
  upd 225/732  ep_ret~-162.29  pl -0.075  vl 24.844  ent 0.228
  upd 230/732  ep_ret~-235.13  pl +0.007  vl 4.813  ent 0.207
  upd 235/732  ep_ret~-285.46  pl -0.031  vl 10.733  ent 0.275
  upd 240/732  ep_ret~-258.87  pl +0.017  vl 6.471  ent 0.310
  upd 245/732  ep_ret~-216.76  pl -0.001  vl 1.398  ent 0.246
  upd 250/732  ep_ret~-359.15  pl -0.063  vl 1.519  ent 0.402
