/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=5 updates=732
  upd   5/732  ep_ret~-439.30  pl -0.010  vl 6.746  ent 0.356
  upd  10/732  ep_ret~-561.58  pl +0.052  vl 16.347  ent 0.762
  upd  15/732  ep_ret~-285.39  pl -0.001  vl 116.738  ent 1.009
  upd  20/732  ep_ret~-234.98  pl -0.029  vl 12.979  ent 0.412
  upd  25/732  ep_ret~-218.60  pl -0.018  vl 8.474  ent 0.412
  upd  30/732  ep_ret~-309.36  pl -0.144  vl 9.712  ent 0.397
  upd  35/732  ep_ret~-170.77  pl -0.055  vl 27.525  ent 0.429
  upd  40/732  ep_ret~-338.29  pl -0.047  vl 6.335  ent 0.346
  upd  45/732  ep_ret~-396.82  pl +0.013  vl 6.722  ent 0.417
  upd  50/732  ep_ret~-425.15  pl -0.026  vl 7.839  ent 0.367
  upd  55/732  ep_ret~-297.60  pl +0.092  vl 9.391  ent 0.280
  upd  60/732  ep_ret~-346.98  pl -0.059  vl 2.056  ent 0.331
  upd  65/732  ep_ret~-236.27  pl -0.055  vl 1.498  ent 0.317
  upd  70/732  ep_ret~-263.27  pl -0.034  vl 16.135  ent 0.404
  upd  75/732  ep_ret~-339.84  pl -0.067  vl 7.807  ent 0.529
  upd  80/732  ep_ret~-165.23  pl -0.107  vl 9.804  ent 0.348
  upd  85/732  ep_ret~-154.64  pl +0.018  vl 13.606  ent 0.359
  upd  90/732  ep_ret~-184.94  pl -0.085  vl 8.935  ent 0.279
  upd  95/732  ep_ret~-184.49  pl +0.055  vl 50.245  ent 0.493
  upd 100/732  ep_ret~-193.52  pl -0.094  vl 4.724  ent 0.237
  upd 105/732  ep_ret~-286.12  pl -0.042  vl 2.248  ent 0.277
  upd 110/732  ep_ret~-221.81  pl +0.028  vl 3.716  ent 0.331
  upd 115/732  ep_ret~-141.18  pl -0.043  vl 23.934  ent 0.241
  upd 120/732  ep_ret~-311.77  pl +0.046  vl 4.853  ent 0.419
  upd 125/732  ep_ret~-227.65  pl +0.015  vl 3.295  ent 0.286
  upd 130/732  ep_ret~-259.64  pl -0.028  vl 6.138  ent 0.420
  upd 135/732  ep_ret~-252.41  pl -0.022  vl 9.029  ent 0.220
  upd 140/732  ep_ret~-252.82  pl +0.036  vl 9.607  ent 0.216
  upd 145/732  ep_ret~-431.33  pl +0.137  vl 1.687  ent 0.407
  upd 150/732  ep_ret~-270.66  pl -0.116  vl 8.285  ent 0.285
  upd 155/732  ep_ret~-174.67  pl +0.124  vl 94.464  ent 0.490
  upd 160/732  ep_ret~-198.70  pl +0.011  vl 3.019  ent 0.287
  upd 165/732  ep_ret~-431.81  pl -0.082  vl 2.163  ent 0.813
  upd 170/732  ep_ret~-279.00  pl +0.011  vl 4.907  ent 0.352
  upd 175/732  ep_ret~-408.51  pl -0.061  vl 1.699  ent 0.744
  upd 180/732  ep_ret~-161.97  pl +0.010  vl 10.290  ent 0.184
  upd 185/732  ep_ret~-262.60  pl -0.060  vl 6.654  ent 0.276
  upd 190/732  ep_ret~-290.85  pl -0.036  vl 18.290  ent 0.707
  upd 195/732  ep_ret~-441.13  pl +0.007  vl 1.513  ent 0.382
  upd 200/732  ep_ret~-354.33  pl -0.079  vl 7.618  ent 0.451
  upd 205/732  ep_ret~-216.50  pl -0.034  vl 21.463  ent 0.304
  upd 210/732  ep_ret~-232.40  pl -0.010  vl 6.277  ent 0.288
  upd 215/732  ep_ret~-236.49  pl +0.027  vl 11.833  ent 0.398
  upd 220/732  ep_ret~-236.33  pl -0.102  vl 6.532  ent 0.285
  upd 225/732  ep_ret~-157.10  pl +0.022  vl 14.484  ent 0.312
  upd 230/732  ep_ret~-376.91  pl +0.036  vl 7.744  ent 0.376
  upd 235/732  ep_ret~-289.69  pl -0.094  vl 6.073  ent 0.214
  upd 240/732  ep_ret~-154.57  pl -0.117  vl 27.437  ent 0.414
  upd 245/732  ep_ret~-288.54  pl -0.077  vl 1.346  ent 0.316
  upd 250/732  ep_ret~-199.67  pl +0.024  vl 20.156  ent 0.307
