/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=8 updates=732
  upd 350/732  ep_ret~-301.52  pl -0.127  vl 7.932  ent 0.284
  upd 355/732  ep_ret~-157.19  pl +0.012  vl 9.748  ent 0.229
  upd 360/732  ep_ret~-252.00  pl -0.084  vl 9.089  ent 0.281
  upd 365/732  ep_ret~-254.26  pl -0.017  vl 2.324  ent 0.293
  upd 370/732  ep_ret~-168.78  pl -0.037  vl 20.664  ent 0.417
  upd 375/732  ep_ret~-260.04  pl -0.066  vl 13.623  ent 0.261
  upd 380/732  ep_ret~-355.43  pl -0.021  vl 0.896  ent 0.394
  upd 385/732  ep_ret~-204.95  pl -0.013  vl 17.807  ent 0.268
  upd 390/732  ep_ret~-122.11  pl +0.022  vl 36.857  ent 0.200
  upd 395/732  ep_ret~-129.10  pl +0.009  vl 75.276  ent 0.297
  upd 400/732  ep_ret~-254.19  pl +0.021  vl 5.409  ent 0.226
  upd 405/732  ep_ret~-416.49  pl -0.022  vl 14.556  ent 0.481
  upd 410/732  ep_ret~-153.47  pl -0.016  vl 24.857  ent 0.317
  upd 415/732  ep_ret~-256.03  pl -0.036  vl 9.712  ent 0.280
  upd 420/732  ep_ret~-364.15  pl +0.018  vl 1.548  ent 0.368
  upd 425/732  ep_ret~-174.46  pl +0.072  vl 17.551  ent 0.466
  upd 430/732  ep_ret~-311.93  pl +0.063  vl 19.979  ent 0.240
  upd 435/732  ep_ret~-245.97  pl +0.078  vl 32.413  ent 0.288
  upd 440/732  ep_ret~-272.72  pl -0.060  vl 9.337  ent 0.289
  upd 445/732  ep_ret~-259.13  pl -0.031  vl 13.590  ent 0.608
  upd 450/732  ep_ret~-353.10  pl -0.052  vl 7.508  ent 0.560
  upd 455/732  ep_ret~-345.59  pl +0.007  vl 1.288  ent 0.389
  upd 460/732  ep_ret~-148.60  pl -0.041  vl 42.607  ent 0.221
