/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=0 updates=732
  upd   5/732  ep_ret~-416.18  pl -0.021  vl 6.319  ent 0.385
  upd  10/732  ep_ret~-502.42  pl -0.094  vl 7.499  ent 0.620
  upd  15/732  ep_ret~-535.27  pl +0.046  vl 10.609  ent 0.891
  upd  20/732  ep_ret~-199.82  pl -0.024  vl 8.754  ent 0.550
  upd  25/732  ep_ret~-362.00  pl -0.057  vl 6.212  ent 0.570
  upd  30/732  ep_ret~-236.29  pl -0.088  vl 17.233  ent 0.409
  upd  35/732  ep_ret~-457.61  pl -0.061  vl 10.283  ent 0.433
  upd  40/732  ep_ret~-219.38  pl +0.055  vl 1.011  ent 0.320
  upd  45/732  ep_ret~-174.19  pl -0.013  vl 24.076  ent 0.502
  upd  50/732  ep_ret~-201.40  pl -0.120  vl 0.885  ent 0.267
  upd  55/732  ep_ret~-118.81  pl -0.015  vl 31.156  ent 0.493
  upd  60/732  ep_ret~-325.38  pl -0.019  vl 12.515  ent 0.237
  upd  65/732  ep_ret~-105.16  pl +0.018  vl 89.798  ent 0.344
  upd  70/732  ep_ret~-304.13  pl -0.029  vl 5.612  ent 0.346
  upd  75/732  ep_ret~-151.42  pl +0.014  vl 15.161  ent 0.393
  upd  80/732  ep_ret~-175.70  pl -0.064  vl 1.222  ent 0.279
  upd  85/732  ep_ret~-231.04  pl +0.064  vl 3.606  ent 0.383
  upd  90/732  ep_ret~-161.39  pl +0.003  vl 31.806  ent 0.239
  upd  95/732  ep_ret~-227.35  pl -0.084  vl 4.707  ent 0.204
  upd 100/732  ep_ret~-100.69  pl +0.010  vl 17.591  ent 0.350
  upd 105/732  ep_ret~-144.17  pl +0.021  vl 10.590  ent 0.503
  upd 110/732  ep_ret~-160.20  pl +0.012  vl 7.039  ent 0.392
  upd 115/732  ep_ret~-139.42  pl -0.044  vl 36.551  ent 0.362
  upd 120/732  ep_ret~-134.83  pl -0.069  vl 20.427  ent 0.337
  upd 125/732  ep_ret~-231.86  pl -0.061  vl 2.013  ent 0.271
  upd 130/732  ep_ret~-196.59  pl -0.017  vl 14.996  ent 0.288
  upd 135/732  ep_ret~-336.42  pl -0.074  vl 8.695  ent 0.316
  upd 140/732  ep_ret~-184.71  pl +0.008  vl 2.102  ent 0.235
  upd 145/732  ep_ret~-139.02  pl +0.000  vl 7.675  ent 0.340
  upd 150/732  ep_ret~-149.46  pl +0.047  vl 3.988  ent 0.404
  upd 155/732  ep_ret~-240.62  pl +0.017  vl 4.596  ent 0.264
  upd 160/732  ep_ret~-121.44  pl +0.015  vl 30.477  ent 0.234
  upd 165/732  ep_ret~-440.39  pl -0.044  vl 7.284  ent 0.333
  upd 170/732  ep_ret~-144.39  pl -0.038  vl 16.501  ent 0.266
  upd 175/732  ep_ret~-101.33  pl -0.126  vl 23.967  ent 0.312
  upd 180/732  ep_ret~-383.85  pl +0.031  vl 1.034  ent 0.433
  upd 185/732  ep_ret~-131.60  pl -0.079  vl 12.617  ent 0.201
  upd 190/732  ep_ret~-363.36  pl +0.037  vl 1.308  ent 0.412
  upd 195/732  ep_ret~-276.84  pl -0.047  vl 6.349  ent 0.233
  upd 200/732  ep_ret~-240.47  pl -0.009  vl 6.699  ent 0.321
  upd 205/732  ep_ret~-189.12  pl +0.026  vl 15.973  ent 0.573
  upd 210/732  ep_ret~-293.74  pl -0.044  vl 2.580  ent 0.292
  upd 215/732  ep_ret~-186.26  pl +0.026  vl 5.419  ent 0.312
  upd 220/732  ep_ret~-354.91  pl -0.008  vl 10.601  ent 0.463
  upd 225/732  ep_ret~-228.82  pl -0.022  vl 8.949  ent 0.287
  upd 230/732  ep_ret~ -85.52  pl -0.078  vl 19.274  ent 0.293
  upd 235/732  ep_ret~-331.72  pl -0.004  vl 5.367  ent 0.295
  upd 240/732  ep_ret~-240.67  pl +0.008  vl 6.867  ent 0.305
  upd 245/732  ep_ret~-164.12  pl -0.041  vl 11.651  ent 0.306
  upd 250/732  ep_ret~-202.98  pl -0.004  vl 14.502  ent 0.425
