/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=9 updates=732
  upd   5/732  ep_ret~-428.28  pl -0.035  vl 6.441  ent 0.429
  upd  10/732  ep_ret~-438.37  pl -0.082  vl 5.441  ent 0.582
  upd  15/732  ep_ret~-435.17  pl -0.106  vl 5.925  ent 0.660
  upd  20/732  ep_ret~-314.94  pl -0.128  vl 4.275  ent 0.414
  upd  25/732  ep_ret~-368.01  pl -0.017  vl 4.754  ent 0.375
  upd  30/732  ep_ret~-193.79  pl -0.019  vl 9.975  ent 0.462
  upd  35/732  ep_ret~-156.86  pl +0.020  vl 16.016  ent 0.342
  upd  40/732  ep_ret~-129.51  pl -0.064  vl 14.148  ent 0.284
  upd  45/732  ep_ret~-355.47  pl -0.042  vl 1.318  ent 0.485
  upd  50/732  ep_ret~-244.78  pl -0.055  vl 6.308  ent 0.438
  upd  55/732  ep_ret~-365.49  pl +0.031  vl 1.254  ent 0.474
  upd  60/732  ep_ret~-112.31  pl +0.043  vl 31.227  ent 0.400
  upd  65/732  ep_ret~-297.55  pl -0.014  vl 7.824  ent 0.310
  upd  70/732  ep_ret~-184.15  pl +0.008  vl 0.927  ent 0.320
  upd  75/732  ep_ret~-115.05  pl +0.069  vl 15.162  ent 0.282
  upd  80/732  ep_ret~-185.88  pl -0.048  vl 5.260  ent 0.296
  upd  85/732  ep_ret~-231.79  pl +0.048  vl 2.996  ent 0.396
  upd  90/732  ep_ret~-154.76  pl -0.084  vl 23.189  ent 0.254
  upd  95/732  ep_ret~-277.12  pl -0.033  vl 5.293  ent 0.543
  upd 100/732  ep_ret~-197.57  pl -0.021  vl 11.047  ent 0.653
  upd 105/732  ep_ret~-234.85  pl -0.132  vl 6.670  ent 0.383
  upd 110/732  ep_ret~-201.81  pl -0.057  vl 6.669  ent 0.329
  upd 115/732  ep_ret~-130.85  pl -0.116  vl 16.288  ent 0.298
  upd 120/732  ep_ret~-241.91  pl -0.081  vl 14.705  ent 0.313
  upd 125/732  ep_ret~-260.21  pl +0.103  vl 6.306  ent 0.240
  upd 130/732  ep_ret~-228.91  pl -0.083  vl 12.992  ent 0.375
  upd 135/732  ep_ret~-202.89  pl -0.018  vl 1.329  ent 0.224
  upd 140/732  ep_ret~-215.86  pl -0.051  vl 13.457  ent 0.597
  upd 145/732  ep_ret~-202.36  pl +0.003  vl 1.380  ent 0.258
  upd 150/732  ep_ret~-264.66  pl -0.038  vl 6.571  ent 0.374
  upd 155/732  ep_ret~ -92.08  pl -0.035  vl 40.666  ent 0.435
  upd 160/732  ep_ret~-328.53  pl +0.004  vl 5.896  ent 0.496
  upd 165/732  ep_ret~-247.98  pl +0.024  vl 2.559  ent 0.231
  upd 170/732  ep_ret~-434.12  pl -0.124  vl 8.532  ent 0.366
  upd 175/732  ep_ret~-119.00  pl -0.023  vl 29.701  ent 0.278
  upd 180/732  ep_ret~-136.33  pl -0.048  vl 35.952  ent 0.426
  upd 185/732  ep_ret~-384.01  pl +0.057  vl 5.096  ent 0.643
  upd 190/732  ep_ret~-311.55  pl +0.012  vl 3.819  ent 0.227
  upd 195/732  ep_ret~-470.23  pl +0.094  vl 19.592  ent 0.279
  upd 200/732  ep_ret~-182.42  pl -0.030  vl 18.159  ent 0.305
  upd 205/732  ep_ret~-181.95  pl -0.013  vl 43.226  ent 0.422
  upd 210/732  ep_ret~-480.82  pl +0.008  vl 4.562  ent 0.407
  upd 215/732  ep_ret~-393.68  pl +0.013  vl 5.710  ent 0.507
  upd 220/732  ep_ret~-149.41  pl +0.124  vl 45.922  ent 0.234
  upd 225/732  ep_ret~ -99.51  pl +0.020  vl 59.036  ent 0.290
  upd 230/732  ep_ret~-292.14  pl -0.014  vl 9.154  ent 0.287
  upd 235/732  ep_ret~-292.86  pl -0.078  vl 7.468  ent 0.327
  upd 240/732  ep_ret~-204.88  pl +0.051  vl 4.284  ent 0.410
  upd 245/732  ep_ret~-258.37  pl -0.148  vl 7.291  ent 0.302
  upd 250/732  ep_ret~-179.68  pl +0.047  vl 20.028  ent 0.333
