/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=6 updates=732
  upd   5/732  ep_ret~-874.51  pl -0.018  vl 67.940  ent 0.869
  upd  10/732  ep_ret~-649.56  pl +0.019  vl 43.343  ent 0.665
  upd  15/732  ep_ret~-384.51  pl -0.012  vl 2.552  ent 0.379
  upd  20/732  ep_ret~-441.82  pl -0.033  vl 2.905  ent 0.741
  upd  25/732  ep_ret~-125.59  pl +0.092  vl 43.584  ent 0.778
  upd  30/732  ep_ret~-290.54  pl -0.043  vl 1.719  ent 0.407
  upd  35/732  ep_ret~-305.52  pl -0.021  vl 6.359  ent 0.437
  upd  40/732  ep_ret~-150.51  pl -0.079  vl 33.264  ent 0.457
  upd  45/732  ep_ret~-342.24  pl +0.051  vl 7.590  ent 0.424
  upd  50/732  ep_ret~-238.45  pl -0.108  vl 1.728  ent 0.265
  upd  55/732  ep_ret~-376.54  pl +0.025  vl 2.519  ent 0.762
  upd  60/732  ep_ret~-219.67  pl -0.149  vl 1.208  ent 0.337
  upd  65/732  ep_ret~-209.73  pl +0.037  vl 1.525  ent 0.295
  upd  70/732  ep_ret~-241.12  pl +0.020  vl 7.830  ent 0.317
  upd  75/732  ep_ret~-338.38  pl -0.088  vl 8.495  ent 0.475
  upd  80/732  ep_ret~-375.37  pl +0.008  vl 1.140  ent 0.366
  upd  85/732  ep_ret~-399.89  pl +0.018  vl 7.828  ent 0.386
  upd  90/732  ep_ret~-147.97  pl -0.052  vl 9.975  ent 0.449
  upd  95/732  ep_ret~-212.90  pl -0.050  vl 5.846  ent 0.199
  upd 100/732  ep_ret~-142.16  pl +0.079  vl 11.493  ent 0.277
  upd 105/732  ep_ret~-314.48  pl -0.052  vl 9.607  ent 0.293
  upd 110/732  ep_ret~-227.71  pl -0.071  vl 8.309  ent 0.343
  upd 115/732  ep_ret~-232.41  pl +0.151  vl 2.269  ent 0.297
  upd 120/732  ep_ret~-119.71  pl -0.005  vl 23.130  ent 0.322
  upd 125/732  ep_ret~-264.62  pl -0.080  vl 6.458  ent 0.292
  upd 130/732  ep_ret~-325.77  pl +0.032  vl 8.417  ent 0.391
  upd 135/732  ep_ret~-129.86  pl +0.019  vl 16.731  ent 0.287
  upd 140/732  ep_ret~-252.77  pl +0.021  vl 2.975  ent 0.334
  upd 145/732  ep_ret~-377.79  pl +0.020  vl 2.035  ent 0.766
  upd 150/732  ep_ret~-128.48  pl -0.031  vl 16.225  ent 0.208
  upd 155/732  ep_ret~-216.21  pl +0.044  vl 5.938  ent 0.219
  upd 160/732  ep_ret~-221.83  pl +0.130  vl 17.777  ent 0.269
  upd 165/732  ep_ret~-196.64  pl -0.055  vl 11.096  ent 0.423
  upd 170/732  ep_ret~-358.58  pl -0.074  vl 6.937  ent 0.271
  upd 175/732  ep_ret~-111.28  pl -0.074  vl 22.657  ent 0.238
  upd 180/732  ep_ret~-153.19  pl +0.046  vl 7.340  ent 0.403
  upd 185/732  ep_ret~-441.17  pl +0.069  vl 1.579  ent 0.371
  upd 190/732  ep_ret~-335.94  pl +0.092  vl 11.465  ent 0.444
  upd 195/732  ep_ret~-314.17  pl +0.024  vl 14.222  ent 0.323
  upd 200/732  ep_ret~-314.99  pl +0.073  vl 2.709  ent 0.619
  upd 205/732  ep_ret~-324.59  pl -0.062  vl 9.829  ent 0.381
  upd 210/732  ep_ret~-245.12  pl +0.030  vl 12.884  ent 0.661
  upd 215/732  ep_ret~-216.91  pl -0.011  vl 27.338  ent 0.558
  upd 220/732  ep_ret~-236.90  pl -0.010  vl 5.953  ent 0.253
  upd 225/732  ep_ret~-214.20  pl -0.119  vl 12.967  ent 0.610
  upd 230/732  ep_ret~-138.06  pl +0.011  vl 20.091  ent 0.458
  upd 235/732  ep_ret~-131.77  pl -0.008  vl 29.181  ent 0.361
  upd 240/732  ep_ret~-148.21  pl -0.007  vl 7.511  ent 0.218
  upd 245/732  ep_ret~-260.08  pl -0.013  vl 8.129  ent 0.282
  upd 250/732  ep_ret~-147.41  pl -0.038  vl 12.712  ent 0.293
