/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=4 updates=732
  upd   5/732  ep_ret~-694.98  pl -0.006  vl 27.576  ent 0.985
  upd  10/732  ep_ret~-476.86  pl +0.014  vl 7.013  ent 0.511
  upd  15/732  ep_ret~-294.78  pl -0.065  vl 13.437  ent 0.804
  upd  20/732  ep_ret~-338.04  pl +0.066  vl 1.279  ent 0.454
  upd  25/732  ep_ret~-429.59  pl +0.115  vl 10.738  ent 0.606
  upd  30/732  ep_ret~-388.58  pl +0.036  vl 4.808  ent 0.379
  upd  35/732  ep_ret~-352.72  pl -0.013  vl 5.976  ent 0.433
  upd  40/732  ep_ret~-290.06  pl -0.007  vl 1.231  ent 0.388
  upd  45/732  ep_ret~-266.37  pl +0.117  vl 61.882  ent 0.354
  upd  50/732  ep_ret~-151.61  pl -0.032  vl 23.030  ent 0.431
  upd  55/732  ep_ret~-277.09  pl +0.116  vl 2.016  ent 0.410
  upd  60/732  ep_ret~-279.36  pl -0.053  vl 3.328  ent 0.286
  upd  65/732  ep_ret~-304.74  pl -0.048  vl 10.773  ent 0.343
  upd  70/732  ep_ret~-411.42  pl -0.028  vl 18.355  ent 0.361
  upd  75/732  ep_ret~-148.09  pl +0.056  vl 7.058  ent 0.452
  upd  80/732  ep_ret~-285.07  pl -0.021  vl 7.159  ent 0.239
  upd  85/732  ep_ret~-196.04  pl -0.060  vl 26.857  ent 0.352
  upd  90/732  ep_ret~-128.39  pl +0.002  vl 24.365  ent 0.331
  upd  95/732  ep_ret~-163.15  pl +0.102  vl 55.421  ent 0.409
  upd 100/732  ep_ret~-212.21  pl -0.052  vl 5.137  ent 0.287
  upd 105/732  ep_ret~-144.37  pl -0.116  vl 23.048  ent 0.345
  upd 110/732  ep_ret~-317.52  pl -0.029  vl 9.909  ent 0.306
  upd 115/732  ep_ret~-222.31  pl +0.062  vl 1.828  ent 0.262
  upd 120/732  ep_ret~-328.39  pl -0.019  vl 9.447  ent 0.407
  upd 125/732  ep_ret~-272.72  pl -0.047  vl 5.531  ent 0.307
  upd 130/732  ep_ret~-398.40  pl -0.006  vl 0.688  ent 0.400
  upd 135/732  ep_ret~-133.63  pl -0.029  vl 30.668  ent 0.254
  upd 140/732  ep_ret~-166.90  pl +0.030  vl 11.511  ent 0.432
  upd 145/732  ep_ret~-207.42  pl -0.129  vl 9.263  ent 0.268
  upd 150/732  ep_ret~-164.91  pl +0.007  vl 16.501  ent 0.349
  upd 155/732  ep_ret~-224.07  pl +0.014  vl 1.857  ent 0.211
  upd 160/732  ep_ret~-279.38  pl +0.010  vl 1.702  ent 0.640
  upd 165/732  ep_ret~-276.55  pl -0.057  vl 1.620  ent 0.345
  upd 170/732  ep_ret~-181.17  pl +0.030  vl 6.893  ent 0.342
  upd 175/732  ep_ret~-365.73  pl -0.016  vl 9.716  ent 0.390
  upd 180/732  ep_ret~-366.91  pl +0.028  vl 9.312  ent 0.597
  upd 185/732  ep_ret~-346.58  pl -0.013  vl 0.880  ent 0.398
  upd 190/732  ep_ret~-149.83  pl -0.098  vl 25.964  ent 0.327
  upd 195/732  ep_ret~-111.96  pl +0.086  vl 29.952  ent 0.261
  upd 200/732  ep_ret~-287.83  pl +0.069  vl 76.969  ent 0.408
  upd 205/732  ep_ret~-371.09  pl -0.049  vl 0.980  ent 0.367
  upd 210/732  ep_ret~-330.55  pl -0.074  vl 1.559  ent 0.390
  upd 215/732  ep_ret~-363.11  pl +0.002  vl 5.855  ent 0.501
  upd 220/732  ep_ret~-162.19  pl +0.080  vl 51.544  ent 0.359
  upd 225/732  ep_ret~-247.59  pl +0.060  vl 5.853  ent 0.280
  upd 230/732  ep_ret~-199.67  pl -0.002  vl 7.028  ent 0.221
  upd 235/732  ep_ret~-134.17  pl -0.046  vl 19.673  ent 0.244
  upd 240/732  ep_ret~-107.21  pl -0.030  vl 13.099  ent 0.293
  upd 245/732  ep_ret~-346.94  pl -0.015  vl 5.846  ent 0.301
  upd 250/732  ep_ret~ -96.40  pl -0.017  vl 32.042  ent 0.291
