/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=7 updates=732
  upd   5/732  ep_ret~-441.50  pl -0.053  vl 6.503  ent 0.348
  upd  10/732  ep_ret~-545.30  pl -0.010  vl 15.571  ent 0.428
  upd  15/732  ep_ret~-244.02  pl +0.032  vl 21.369  ent 0.598
  upd  20/732  ep_ret~-201.54  pl -0.061  vl 25.871  ent 0.766
  upd  25/732  ep_ret~-386.18  pl -0.008  vl 7.940  ent 0.816
  upd  30/732  ep_ret~-237.40  pl +0.019  vl 14.055  ent 0.601
  upd  35/732  ep_ret~-254.46  pl -0.019  vl 6.629  ent 0.367
  upd  40/732  ep_ret~-164.62  pl -0.030  vl 11.608  ent 0.406
  upd  45/732  ep_ret~-202.13  pl +0.014  vl 1.020  ent 0.307
  upd  50/732  ep_ret~-316.47  pl -0.101  vl 18.145  ent 0.396
  upd  55/732  ep_ret~-192.38  pl +0.007  vl 78.148  ent 0.372
  upd  60/732  ep_ret~-142.40  pl +0.023  vl 27.281  ent 0.388
  upd  65/732  ep_ret~-325.00  pl -0.061  vl 6.259  ent 0.359
  upd  70/732  ep_ret~-340.67  pl -0.021  vl 4.734  ent 0.545
  upd  75/732  ep_ret~-136.73  pl -0.009  vl 13.922  ent 0.352
  upd  80/732  ep_ret~-179.34  pl -0.096  vl 9.967  ent 0.449
  upd  85/732  ep_ret~-234.20  pl +0.111  vl 3.675  ent 0.294
  upd  90/732  ep_ret~-338.25  pl +0.005  vl 6.549  ent 0.568
  upd  95/732  ep_ret~-395.10  pl -0.027  vl 0.959  ent 0.329
  upd 100/732  ep_ret~-263.22  pl -0.074  vl 14.307  ent 0.386
  upd 105/732  ep_ret~-219.90  pl -0.045  vl 7.728  ent 0.282
  upd 110/732  ep_ret~-120.34  pl -0.014  vl 49.085  ent 0.321
  upd 115/732  ep_ret~-164.25  pl -0.038  vl 5.990  ent 0.575
  upd 120/732  ep_ret~-131.41  pl -0.048  vl 22.750  ent 0.447
  upd 125/732  ep_ret~-162.76  pl -0.028  vl 7.736  ent 0.259
  upd 130/732  ep_ret~-236.32  pl -0.012  vl 15.959  ent 0.714
  upd 135/732  ep_ret~-217.86  pl +0.017  vl 7.767  ent 0.191
  upd 140/732  ep_ret~-278.26  pl +0.015  vl 11.233  ent 0.282
  upd 145/732  ep_ret~-184.96  pl +0.023  vl 5.770  ent 0.292
  upd 150/732  ep_ret~-338.81  pl +0.009  vl 7.242  ent 0.541
  upd 155/732  ep_ret~-235.29  pl -0.034  vl 2.865  ent 0.196
  upd 160/732  ep_ret~-183.94  pl +0.118  vl 35.988  ent 0.335
  upd 165/732  ep_ret~-287.28  pl +0.037  vl 6.020  ent 0.477
  upd 170/732  ep_ret~-115.64  pl -0.052  vl 28.515  ent 0.317
  upd 175/732  ep_ret~-175.71  pl +0.112  vl 1.589  ent 0.254
  upd 180/732  ep_ret~-174.50  pl -0.011  vl 16.301  ent 0.216
  upd 185/732  ep_ret~-127.60  pl -0.070  vl 26.722  ent 0.341
  upd 190/732  ep_ret~-366.46  pl +0.012  vl 15.450  ent 0.549
  upd 195/732  ep_ret~-211.72  pl -0.001  vl 7.881  ent 0.189
  upd 200/732  ep_ret~-282.71  pl +0.095  vl 5.445  ent 0.536
  upd 205/732  ep_ret~-468.07  pl +0.012  vl 7.229  ent 0.331
  upd 210/732  ep_ret~-165.25  pl -0.066  vl 12.489  ent 0.439
  upd 215/732  ep_ret~-240.16  pl +0.021  vl 11.451  ent 0.178
  upd 220/732  ep_ret~-386.89  pl -0.072  vl 1.145  ent 0.383
  upd 225/732  ep_ret~-200.50  pl -0.051  vl 17.628  ent 0.391
  upd 230/732  ep_ret~-155.69  pl +0.003  vl 23.567  ent 0.322
  upd 235/732  ep_ret~-216.17  pl -0.162  vl 19.339  ent 0.556
  upd 240/732  ep_ret~-146.03  pl -0.073  vl 1.188  ent 0.167
  upd 245/732  ep_ret~-404.08  pl +0.075  vl 9.782  ent 0.376
  upd 250/732  ep_ret~-133.08  pl +0.020  vl 22.903  ent 0.296
