/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=2 updates=732
  upd   5/732  ep_ret~-322.37  pl -0.073  vl 49.028  ent 0.926
  upd  10/732  ep_ret~-396.20  pl -0.070  vl 35.336  ent 1.109
  upd  15/732  ep_ret~-782.33  pl +0.112  vl 193.797  ent 0.572
  upd  20/732  ep_ret~-415.47  pl +0.029  vl 3.960  ent 0.589
  upd  25/732  ep_ret~-398.98  pl -0.023  vl 13.339  ent 0.535
  upd  30/732  ep_ret~-215.27  pl -0.086  vl 18.987  ent 0.429
  upd  35/732  ep_ret~-248.57  pl -0.072  vl 1.493  ent 0.290
  upd  40/732  ep_ret~-352.70  pl +0.033  vl 10.193  ent 0.604
  upd  45/732  ep_ret~-249.36  pl -0.009  vl 1.388  ent 0.368
  upd  50/732  ep_ret~-187.93  pl -0.011  vl 1.121  ent 0.272
  upd  55/732  ep_ret~-445.10  pl -0.022  vl 18.539  ent 0.640
  upd  60/732  ep_ret~-227.15  pl -0.030  vl 1.964  ent 0.279
  upd  65/732  ep_ret~-301.13  pl -0.010  vl 3.278  ent 0.220
  upd  70/732  ep_ret~-180.65  pl +0.011  vl 13.218  ent 0.382
  upd  75/732  ep_ret~-266.66  pl +0.102  vl 6.044  ent 0.363
  upd  80/732  ep_ret~-229.77  pl +0.022  vl 5.459  ent 0.319
  upd  85/732  ep_ret~-377.43  pl +0.031  vl 1.210  ent 0.339
  upd  90/732  ep_ret~-192.89  pl -0.010  vl 9.786  ent 0.219
  upd  95/732  ep_ret~-266.35  pl -0.004  vl 5.589  ent 0.467
  upd 100/732  ep_ret~-213.08  pl +0.022  vl 7.231  ent 0.273
  upd 105/732  ep_ret~-333.55  pl -0.067  vl 6.950  ent 0.323
  upd 110/732  ep_ret~-288.95  pl -0.011  vl 3.621  ent 0.596
  upd 115/732  ep_ret~-208.96  pl +0.014  vl 6.073  ent 0.256
  upd 120/732  ep_ret~-130.19  pl -0.053  vl 29.466  ent 0.331
  upd 125/732  ep_ret~-279.43  pl -0.021  vl 13.996  ent 0.287
  upd 130/732  ep_ret~-247.55  pl -0.016  vl 4.380  ent 0.280
  upd 135/732  ep_ret~-166.76  pl -0.021  vl 16.854  ent 0.414
  upd 140/732  ep_ret~-242.20  pl -0.083  vl 6.947  ent 0.288
  upd 145/732  ep_ret~-149.68  pl +0.012  vl 20.974  ent 0.424
  upd 150/732  ep_ret~-143.40  pl -0.060  vl 20.374  ent 0.240
  upd 155/732  ep_ret~-283.96  pl +0.053  vl 5.030  ent 0.422
  upd 160/732  ep_ret~-293.86  pl -0.083  vl 10.355  ent 0.361
  upd 165/732  ep_ret~-412.80  pl -0.069  vl 0.943  ent 0.369
  upd 170/732  ep_ret~-265.60  pl +0.128  vl 6.287  ent 0.453
  upd 175/732  ep_ret~-246.34  pl -0.092  vl 6.507  ent 0.339
  upd 180/732  ep_ret~-281.55  pl -0.012  vl 2.093  ent 0.327
  upd 185/732  ep_ret~-361.74  pl -0.017  vl 11.553  ent 0.406
  upd 190/732  ep_ret~-386.61  pl -0.105  vl 14.697  ent 0.477
  upd 195/732  ep_ret~-142.47  pl -0.084  vl 11.744  ent 0.261
  upd 200/732  ep_ret~-181.13  pl -0.017  vl 33.080  ent 0.383
  upd 205/732  ep_ret~-355.35  pl -0.024  vl 9.355  ent 0.342
  upd 210/732  ep_ret~-239.95  pl -0.023  vl 13.692  ent 0.267
  upd 215/732  ep_ret~-187.21  pl +0.029  vl 1.665  ent 0.253
  upd 220/732  ep_ret~-360.64  pl +0.011  vl 6.441  ent 0.394
  upd 225/732  ep_ret~-209.26  pl +0.075  vl 6.257  ent 0.288
  upd 230/732  ep_ret~-286.76  pl -0.014  vl 11.432  ent 0.313
  upd 235/732  ep_ret~-141.81  pl +0.036  vl 36.654  ent 0.254
  upd 240/732  ep_ret~-462.95  pl -0.078  vl 13.645  ent 0.534
  upd 245/732  ep_ret~-292.15  pl -0.027  vl 1.700  ent 0.374
  upd 250/732  ep_ret~-143.56  pl +0.020  vl 32.217  ent 0.249
