/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=3 updates=732
  upd   5/732  ep_ret~-465.32  pl +0.061  vl 10.547  ent 0.595
  upd  10/732  ep_ret~-544.40  pl -0.006  vl 12.095  ent 0.663
  upd  15/732  ep_ret~-390.90  pl -0.044  vl 8.065  ent 0.397
  upd  20/732  ep_ret~-252.63  pl -0.036  vl 40.996  ent 0.765
  upd  25/732  ep_ret~-293.30  pl -0.011  vl 2.677  ent 0.416
  upd  30/732  ep_ret~-314.83  pl +0.002  vl 10.409  ent 0.287
  upd  35/732  ep_ret~-268.30  pl +0.020  vl 8.082  ent 0.223
  upd  40/732  ep_ret~-163.90  pl +0.001  vl 13.243  ent 0.452
  upd  45/732  ep_ret~-240.24  pl +0.142  vl 1.885  ent 0.342
  upd  50/732  ep_ret~-112.72  pl -0.029  vl 44.853  ent 0.287
  upd  55/732  ep_ret~-181.41  pl -0.045  vl 15.500  ent 0.465
  upd  60/732  ep_ret~-282.65  pl +0.026  vl 2.115  ent 0.353
  upd  65/732  ep_ret~-166.77  pl -0.115  vl 12.505  ent 0.286
  upd  70/732  ep_ret~-367.25  pl +0.003  vl 1.426  ent 0.389
  upd  75/732  ep_ret~-244.67  pl -0.023  vl 6.871  ent 0.397
  upd  80/732  ep_ret~-250.28  pl -0.097  vl 7.210  ent 0.357
  upd  85/732  ep_ret~-275.26  pl +0.007  vl 4.402  ent 0.286
  upd  90/732  ep_ret~-325.61  pl -0.032  vl 8.318  ent 0.399
  upd  95/732  ep_ret~-147.12  pl -0.143  vl 14.286  ent 0.334
  upd 100/732  ep_ret~-248.77  pl +0.062  vl 12.941  ent 0.313
  upd 105/732  ep_ret~-197.18  pl -0.077  vl 13.479  ent 0.370
  upd 110/732  ep_ret~-233.68  pl -0.012  vl 3.583  ent 0.326
  upd 115/732  ep_ret~-117.37  pl +0.052  vl 29.821  ent 0.279
  upd 120/732  ep_ret~ -91.00  pl -0.089  vl 30.222  ent 0.364
  upd 125/732  ep_ret~-186.28  pl -0.034  vl 12.074  ent 0.227
  upd 130/732  ep_ret~-147.95  pl +0.050  vl 24.059  ent 0.302
  upd 135/732  ep_ret~-151.87  pl -0.009  vl 18.676  ent 0.326
  upd 140/732  ep_ret~-219.76  pl -0.136  vl 12.561  ent 0.548
  upd 145/732  ep_ret~-242.22  pl +0.107  vl 9.800  ent 0.378
  upd 150/732  ep_ret~-323.33  pl -0.007  vl 1.599  ent 0.340
  upd 155/732  ep_ret~-106.79  pl -0.020  vl 9.500  ent 0.287
  upd 160/732  ep_ret~-372.20  pl -0.006  vl 7.400  ent 0.354
  upd 165/732  ep_ret~-202.80  pl +0.092  vl 2.443  ent 0.231
  upd 170/732  ep_ret~-284.77  pl -0.033  vl 15.021  ent 0.737
  upd 175/732  ep_ret~-127.10  pl -0.063  vl 8.628  ent 0.208
  upd 180/732  ep_ret~-235.47  pl +0.035  vl 11.840  ent 0.155
  upd 185/732  ep_ret~-247.51  pl -0.059  vl 1.041  ent 0.324
  upd 190/732  ep_ret~ -96.04  pl +0.002  vl 14.533  ent 0.323
  upd 195/732  ep_ret~-122.83  pl -0.051  vl 10.793  ent 0.295
  upd 200/732  ep_ret~-194.03  pl -0.097  vl 5.109  ent 0.285
  upd 205/732  ep_ret~-218.07  pl -0.030  vl 4.787  ent 0.211
  upd 210/732  ep_ret~ -96.11  pl -0.033  vl 52.427  ent 0.385
  upd 215/732  ep_ret~-171.65  pl +0.002  vl 19.358  ent 0.356
  upd 220/732  ep_ret~-265.86  pl -0.040  vl 1.726  ent 0.278
  upd 225/732  ep_ret~-243.60  pl +0.026  vl 8.636  ent 0.256
  upd 230/732  ep_ret~-141.82  pl -0.007  vl 17.762  ent 0.489
  upd 235/732  ep_ret~-291.99  pl -0.045  vl 12.678  ent 0.344
  upd 240/732  ep_ret~-269.09  pl +0.026  vl 5.814  ent 0.345
  upd 245/732  ep_ret~-167.08  pl +0.019  vl 56.047  ent 0.470
  upd 250/732  ep_ret~-234.06  pl -0.005  vl 7.536  ent 0.397
